system:index,elevation,name,.geo
87,59,245,"{""type"":""Point"",""coordinates"":[-90.38664553520124,17.26294364443537]}"
88,2259,231,"{""type"":""Point"",""coordinates"":[29.406434356328727,-2.5386738429276243]}"
89,1611,359,"{""type"":""Point"",""coordinates"":[36.89581316336562,0.4224310635946181]}"
90,1812,321,"{""type"":""Point"",""coordinates"":[36.846555244339065,0.33617864261335006]}"
91,1666,366,"{""type"":""Point"",""coordinates"":[36.85378651268177,0.40448603835208646]}"
92,228,529,"{""type"":""Point"",""coordinates"":[-89.3779386416874,17.471844972255685]}"
93,93,484,"{""type"":""Point"",""coordinates"":[-58.610918689627304,-19.8336680471005]}"
94,178,456,"{""type"":""Point"",""coordinates"":[-89.21441303895942,17.386912518489904]}"
95,182,301,"{""type"":""Point"",""coordinates"":[-89.36824357719823,17.432647551432957]}"
96,2366,025,"{""type"":""Point"",""coordinates"":[29.38710228836127,-2.6228343574652895]}"
97,1630,503,"{""type"":""Point"",""coordinates"":[36.927511511634684,0.3669422745207605]}"
98,1805,138,"{""type"":""Point"",""coordinates"":[36.84326963415249,0.36818442514557354]}"
99,1640,306,"{""type"":""Point"",""coordinates"":[36.876284563119476,0.43636730018872943]}"
100,1767,240,"{""type"":""Point"",""coordinates"":[36.88246225502504,0.3333834216361153]}"
101,216,444,"{""type"":""Point"",""coordinates"":[-89.29927048665242,17.426287047940967]}"
102,1626,443,"{""type"":""Point"",""coordinates"":[36.89213977387095,0.4215956674585903]}"
103,1754,193,"{""type"":""Point"",""coordinates"":[36.820846232277844,0.41192073764892545]}"
104,1807,136,"{""type"":""Point"",""coordinates"":[36.873726112174445,0.2863078067316473]}"
105,1624,051,"{""type"":""Point"",""coordinates"":[36.90242404984711,0.4191577994133831]}"
106,2325,293,"{""type"":""Point"",""coordinates"":[29.264567825620645,-2.5660196854954886]}"
107,1606,375,"{""type"":""Point"",""coordinates"":[36.848003701677435,0.4946679268149558]}"
108,1644,229,"{""type"":""Point"",""coordinates"":[36.9070151750833,0.3932093347835857]}"
109,1637,127,"{""type"":""Point"",""coordinates"":[36.88875543035903,0.41811095589577946]}"
110,2396,333,"{""type"":""Point"",""coordinates"":[29.404693947567694,-2.582070800125371]}"
111,1674,220,"{""type"":""Point"",""coordinates"":[36.8723009357763,0.4107500662279259]}"
112,2517,521,"{""type"":""Point"",""coordinates"":[29.39190832023515,-2.519539918731574]}"
113,188,264,"{""type"":""Point"",""coordinates"":[-76.17301619261994,-1.9420145610648765]}"
114,198,531,"{""type"":""Point"",""coordinates"":[-89.27484144414585,17.340220544240648]}"
115,1635,261,"{""type"":""Point"",""coordinates"":[36.89200191232386,0.4003588712377196]}"
116,1682,489,"{""type"":""Point"",""coordinates"":[36.83272593511341,0.4184907280919391]}"
117,2158,224,"{""type"":""Point"",""coordinates"":[29.424445303107326,-2.559545268820268]}"
118,1343,106,"{""type"":""Point"",""coordinates"":[103.16998205946943,20.11690197957845]}"
119,2403,071,"{""type"":""Point"",""coordinates"":[29.395219821147172,-2.595224856128364]}"
120,1699,329,"{""type"":""Point"",""coordinates"":[36.901692189036744,0.2828233670075575]}"
121,261,210,"{""type"":""Point"",""coordinates"":[-89.32011001521958,17.412933898161278]}"
122,1685,532,"{""type"":""Point"",""coordinates"":[36.86856291306131,0.457870794563644]}"
123,1814,024,"{""type"":""Point"",""coordinates"":[36.87267327752806,0.3972405456875009]}"
124,1584,010,"{""type"":""Point"",""coordinates"":[36.892203128519284,0.480283121689543]}"
125,269,145,"{""type"":""Point"",""coordinates"":[-76.85460402687619,-1.8783470914159714]}"
126,1806,300,"{""type"":""Point"",""coordinates"":[36.83489429196447,0.3852535737510175]}"
127,1663,091,"{""type"":""Point"",""coordinates"":[36.861376533065645,0.4338985983754824]}"
128,194,212,"{""type"":""Point"",""coordinates"":[-89.23532347668366,17.333951801239408]}"
129,2469,000,"{""type"":""Point"",""coordinates"":[29.35055652840072,-2.626241250346719]}"
130,92,082,"{""type"":""Point"",""coordinates"":[-58.61505417063685,-19.796040100276585]}"
131,95,121,"{""type"":""Point"",""coordinates"":[-58.61778840979919,-19.84801345429191]}"
132,298,045,"{""type"":""Point"",""coordinates"":[-76.84158894064917,-1.8936431157718412]}"
133,93,064,"{""type"":""Point"",""coordinates"":[-58.65293658236221,-19.789640623635297]}"
134,1681,499,"{""type"":""Point"",""coordinates"":[36.8764970596741,0.38127887731779886]}"
135,1669,125,"{""type"":""Point"",""coordinates"":[36.89756647089733,0.2954514171664175]}"
136,1686,122,"{""type"":""Point"",""coordinates"":[36.85497924683391,0.3834669038949661]}"
137,224,109,"{""type"":""Point"",""coordinates"":[-89.38450801813721,17.48670574225246]}"
138,1805,132,"{""type"":""Point"",""coordinates"":[36.83941767831211,0.3692122664750139]}"
139,92,421,"{""type"":""Point"",""coordinates"":[-58.64803425407102,-19.790869284428194]}"
140,2297,530,"{""type"":""Point"",""coordinates"":[29.41355600739577,-2.5454882190190844]}"
141,1622,412,"{""type"":""Point"",""coordinates"":[36.83851751103988,0.47683976548682744]}"
142,202,149,"{""type"":""Point"",""coordinates"":[-89.38345162375447,17.501946163551104]}"
143,1650,170,"{""type"":""Point"",""coordinates"":[36.88813310063387,0.3936811720959416]}"
144,209,428,"{""type"":""Point"",""coordinates"":[-89.34696920786806,17.486201882522035]}"
145,1715,351,"{""type"":""Point"",""coordinates"":[36.87926753570763,0.40951459423627673]}"
146,277,374,"{""type"":""Point"",""coordinates"":[-76.84970379623749,-1.8852423130427767]}"
147,1720,273,"{""type"":""Point"",""coordinates"":[36.845312385623295,0.3829593705848677]}"
148,299,057,"{""type"":""Point"",""coordinates"":[-89.23669240317896,17.433195051368905]}"
149,250,218,"{""type"":""Point"",""coordinates"":[-89.21560449646441,17.492381819738956]}"
150,284,320,"{""type"":""Point"",""coordinates"":[-89.30856133799814,17.49559922328219]}"
151,1806,103,"{""type"":""Point"",""coordinates"":[36.87395458388925,0.27805555401582077]}"
152,1587,400,"{""type"":""Point"",""coordinates"":[36.88729886042743,0.4855926290971325]}"
153,1759,242,"{""type"":""Point"",""coordinates"":[36.891541722318685,0.37302098256135674]}"
154,2393,385,"{""type"":""Point"",""coordinates"":[29.390326689889278,-2.589495158621306]}"
155,186,338,"{""type"":""Point"",""coordinates"":[-89.35080836943763,17.536896481052]}"
156,1710,415,"{""type"":""Point"",""coordinates"":[36.8918927235126,0.3312000722345206]}"
157,298,003,"{""type"":""Point"",""coordinates"":[-89.33077059971222,17.35453036432352]}"
158,1684,328,"{""type"":""Point"",""coordinates"":[36.869441915998244,0.3771808510283011]}"
159,92,174,"{""type"":""Point"",""coordinates"":[-58.62157045123212,-19.824004415715304]}"
160,1685,289,"{""type"":""Point"",""coordinates"":[36.862931772670926,0.4627570018112987]}"
161,2565,167,"{""type"":""Point"",""coordinates"":[29.377802131072595,-2.53574413564277]}"
162,2423,282,"{""type"":""Point"",""coordinates"":[29.38838026891098,-2.622327853110669]}"
163,1680,152,"{""type"":""Point"",""coordinates"":[36.862241291461714,0.4586217549806155]}"
164,1658,159,"{""type"":""Point"",""coordinates"":[36.90269370224628,0.2977199208976545]}"
165,1679,053,"{""type"":""Point"",""coordinates"":[36.84911889705895,0.39701662905998303]}"
166,2591,390,"{""type"":""Point"",""coordinates"":[29.363897437858608,-2.322555569447371]}"
167,1627,197,"{""type"":""Point"",""coordinates"":[36.92623376510901,0.3649389341573558]}"
168,1645,520,"{""type"":""Point"",""coordinates"":[36.84588023602885,0.4513483520249823]}"
169,1639,101,"{""type"":""Point"",""coordinates"":[36.88658320163992,0.42242543827055773]}"
170,1755,254,"{""type"":""Point"",""coordinates"":[36.885710691894054,0.3441215896261132]}"
171,212,512,"{""type"":""Point"",""coordinates"":[-89.26162824679224,17.486799266608877]}"
172,1763,151,"{""type"":""Point"",""coordinates"":[36.91290076119324,0.35965868710133353]}"
173,1766,001,"{""type"":""Point"",""coordinates"":[36.87881117620775,0.3100894856097052]}"
174,1665,028,"{""type"":""Point"",""coordinates"":[36.85158912415017,0.40956090840037074]}"
175,1690,278,"{""type"":""Point"",""coordinates"":[36.8212468917753,0.4223472145962541]}"
176,180,060,"{""type"":""Point"",""coordinates"":[-89.35785667276214,17.45245169536857]}"
177,94,434,"{""type"":""Point"",""coordinates"":[-58.6020821917912,-19.828335824111782]}"
178,193,408,"{""type"":""Point"",""coordinates"":[-89.36949935289653,17.536713449953606]}"
179,233,511,"{""type"":""Point"",""coordinates"":[-89.41342659908402,17.43990428467222]}"
180,1690,140,"{""type"":""Point"",""coordinates"":[36.85953246413865,0.45075688754070886]}"
181,1639,318,"{""type"":""Point"",""coordinates"":[36.839141043009015,0.463486068384292]}"
182,1669,157,"{""type"":""Point"",""coordinates"":[36.853573366218704,0.4223354439540444]}"
183,1803,492,"{""type"":""Point"",""coordinates"":[36.84222434360628,0.3723875424635886]}"
184,1807,130,"{""type"":""Point"",""coordinates"":[36.87202048158241,0.29531409169537814]}"
185,2372,356,"{""type"":""Point"",""coordinates"":[29.406273719380522,-2.595351880715789]}"
186,1734,387,"{""type"":""Point"",""coordinates"":[36.88889947723915,0.3776345355965877]}"
187,256,009,"{""type"":""Point"",""coordinates"":[-76.84303058393503,-1.8542432186023639]}"
188,225,509,"{""type"":""Point"",""coordinates"":[-89.29153367242331,17.459730033902066]}"
189,2402,202,"{""type"":""Point"",""coordinates"":[29.390633285347473,-2.5238879512632435]}"
190,215,395,"{""type"":""Point"",""coordinates"":[-89.25412173316448,17.470856580623433]}"
